field,replicate,architecture,target_su4_shot_gate_exposure,achieved_su4_shot_gate_exposure,achieved_modeled_entangling_exposure,achieved_training_shots,objective_queries,fidelity,zz_long_range_mae,energy_density_error,half_chain_entropy_error,joint_failure,physical_su4_blocks,independent_coordinates
1.0,82,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.39530229695097696,0.1351807652695473,0.1661040342151301,0.36718690781544294,0.604697703049023,26,225
1.0,82,MPS,260000000,260400000,781200000,17360000,3472,0.5408275666374277,0.1349482315747365,0.09354085246410149,0.3694917732601734,0.4591724333625721,15,225
1.0,83,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.44273767031077516,0.1315092633561495,0.1317306180696851,0.30436068549267503,0.5572623296892244,26,225
1.0,83,MPS,260000000,260400000,781200000,17360000,3472,0.42572193200610103,0.13494808721777435,0.1499878600084048,0.45219868378936645,0.574278067993899,15,225
1.0,84,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.5230150984831653,0.13650221412615027,0.1060828243705858,0.2505899257761914,0.4769849015168346,26,225
1.0,84,MPS,260000000,260400000,781200000,17360000,3472,0.5170855585061412,0.13494727468707335,0.10539214623058202,0.2745925130836035,0.4829144414938592,15,225
1.0,85,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.5058788624004854,0.1335803899997234,0.12125431591162772,0.28616534345764183,0.4941211375995149,26,225
1.0,85,MPS,260000000,260400000,781200000,17360000,3472,0.5240725129767644,0.13494862767324778,0.1041341632082542,0.5351286583855727,0.4759274870232355,15,225
1.0,86,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.5707954066807407,0.13395462761890578,0.09966018589826042,0.07720707349089717,0.42920459331925953,26,225
1.0,86,MPS,260000000,260400000,781200000,17360000,3472,0.42989136469914274,0.13494668716047176,0.16798246329221445,0.4075547981323222,0.5701086353008571,15,225
1.0,87,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.3791473096790765,0.13535620020289196,0.17010556878007588,0.33883461498406237,0.6208526903209234,26,225
1.0,87,MPS,260000000,260400000,781200000,17360000,3472,0.4709400037507002,0.1349484212607644,0.12279312767513306,0.3059975931886022,0.5290599962492997,15,225
1.0,88,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.4804724139992412,0.13332722011047493,0.1370879079002456,0.23822051512415976,0.5195275860007591,26,225
1.0,88,MPS,260000000,260400000,781200000,17360000,3472,0.5281431137130413,0.1349485733065387,0.10392812568124699,0.3231831866663054,0.47185688628695877,15,225
1.0,89,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.40238621389227924,0.13695332459754295,0.15164887799962812,0.34722306028470484,0.5976137861077206,26,225
1.0,89,MPS,260000000,260400000,781200000,17360000,3472,0.5146099399354335,0.13494832112911573,0.10572662362585716,0.3434792983046069,0.48539006006456664,15,225
1.1,80,MERA_PM225,260000000,260000000,780000000,10000000,2000,0.5833318206498134,0.055262544311409784,0.10352261588940204,0.19836759594528486,0.4166681793501862,26,225
