metric,scope,field,target_su4_shot_gate_exposure,pairs,mean_difference,standard_error,interval_level,interval_lower,interval_upper
zz_long_range_mae,fixed_field,1.1,260000000,10,-0.0002783727391058539,0.0009377642809327656,0.975,-0.0027962800051673647,0.0022395345269556567
zz_long_range_mae,equal_weight_fixed_fields,,260000000,30,-0.0009839659209050049,,0.975,-0.0023355011799007746,0.0002103902736046981
zz_long_range_mae,fixed_field,0.9,2600000000,10,-0.09328341829416112,0.023100993373189084,0.975,-0.1553098360734089,-0.031257000514913334
zz_long_range_mae,fixed_field,1.0,2600000000,10,-0.03417282459235745,0.010518058673931695,0.975,-0.06241392621931598,-0.005931722965398928
zz_long_range_mae,fixed_field,1.1,2600000000,10,-0.006223103624683951,0.0017902012621033008,0.975,-0.011029813431415826,-0.001416393817952077
zz_long_range_mae,equal_weight_fixed_fields,,2600000000,30,-0.04455978217040083,,0.975,-0.0638611143310296,-0.028263704598545877
zz_long_range_mae,fixed_field,0.9,8400000000,10,-0.02006316479517245,0.014616165179191235,0.975,-0.059307726840161924,0.019181397249817024
zz_long_range_mae,fixed_field,1.0,8400000000,10,-0.02293511374413721,0.012640529974832261,0.975,-0.05687507383607039,0.011004846347795971
zz_long_range_mae,fixed_field,1.1,8400000000,10,-0.0007481379136348269,0.0032986136754617873,0.975,-0.009604951411706827,0.008108675584437173
zz_long_range_mae,equal_weight_fixed_fields,,8400000000,30,-0.01458213881764816,,0.975,-0.028112076424387136,-0.0003402139752515141
energy_density_error,fixed_field,0.9,26000000,10,0.14241775326980138,0.02501607108114294,0.975,0.0752493310722011,0.20958617546740166
energy_density_error,fixed_field,1.0,26000000,10,0.0624365764601584,0.02011434574366295,0.975,0.00842933996180694,0.11644381295850986
energy_density_error,fixed_field,1.1,26000000,10,0.16006927396720827,0.05848088729042867,0.975,0.003047457260956593,0.31709109067346
energy_density_error,equal_weight_fixed_fields,,26000000,30,0.12164120123238935,,0.975,0.0784751105753822,0.1727422343023426
energy_density_error,fixed_field,0.9,260000000,10,0.004822317585429658,0.01299767649052514,0.975,-0.0300765847750416,0.039721219945900915
energy_density_error,fixed_field,1.0,260000000,10,0.017639532628345767,0.012634556841241627,0.975,-0.016284389535107077,0.05156345479179861
energy_density_error,fixed_field,1.1,260000000,10,0.03108630316812864,0.008997648917686708,0.975,0.0069275182282934715,0.0552450881079638
energy_density_error,equal_weight_fixed_fields,,260000000,30,0.01784938446063469,,0.975,0.0035542292556653547,0.0319171859311102
energy_density_error,fixed_field,0.9,2600000000,10,-0.0037323964726116987,0.003091324778240341,0.975,-0.012032637033219494,0.004567844087996096
energy_density_error,fixed_field,1.0,2600000000,10,-0.012097455536746082,0.005880675183895003,0.975,-0.027887132192108526,0.0036922211186163623
energy_density_error,fixed_field,1.1,2600000000,10,-0.009698481628400901,0.0020547247009833694,0.975,-0.015215439737762949,-0.004181523519038853
energy_density_error,equal_weight_fixed_fields,,2600000000,30,-0.00850944454591956,,0.975,-0.013064164901763485,-0.0033013829648569646
energy_density_error,fixed_field,0.9,8400000000,10,0.0032253647113584137,0.0009543427762472764,0.975,0.0006629440055535454,0.0057877854171632815
energy_density_error,fixed_field,1.0,8400000000,10,-0.002062407825417578,0.0026897603765092177,0.975,-0.009284443611681945,0.005159627960846789
energy_density_error,fixed_field,1.1,8400000000,10,0.0006998833821255879,0.0016971314850529006,0.975,-0.0038569330637151724,0.005256699827966348
energy_density_error,equal_weight_fixed_fields,,8400000000,30,0.0006209467560221411,,0.975,-0.001671880898990176,0.003053593306992627
