field,restart,architecture,converged,completed_steps,final_gradient_norm,elapsed_seconds,fidelity,zz_long_range_mae,energy_density_error,half_chain_entropy_error,joint_failure,eta_sum
1.1,206,MPS,False,5000,0.00018292606311972427,232.8465053330874,0.994564171181026,0.03064736241300977,0.001148846585997898,0.0182519528815982,0.005435828818973865,0.009813600368394135
1.1,207,MERA_PM225,False,5000,0.00012768183169213206,414.39112016605213,0.9975013965601219,0.007164515399111327,0.0006193848047284511,0.003753848605823229,0.0024986034398779555,0.004000464821843255
1.1,207,MPS,False,5000,0.00025324667013882745,234.89938812493347,0.9945500059889528,0.030649689042037763,0.0011526113172759533,0.020006331459338333,0.005449994011048398,0.010299138518307495
1.1,208,MERA_PM225,False,5000,0.00017410288180022662,412.6952803339809,0.9975895329783097,0.011416484107851562,0.0005833589951254048,0.002925157581049831,0.0024104670216907875,0.0044315025687132565
1.1,208,MPS,False,5000,0.00017686916068657065,233.39498641702812,0.9945560140028044,0.0307096079125398,0.0011458989879524761,0.020412426063377787,0.005443985997195755,0.010182577532414333
1.1,209,MERA_PM225,False,5000,9.495461713593944e-05,412.89701562502887,0.9975567963265574,0.012653416424905889,0.0005875506913370909,0.0031173647542945826,0.0024432036734416407,0.004480706665773477
1.1,209,MPS,False,5000,0.0003091106089881842,231.2363235829398,0.99455848578156,0.030709332444357168,0.001154660872748181,0.018584396434022765,0.005441514218439747,0.010096761082222093
1.1,210,MERA_PM225,False,5000,0.09590794178831716,416.95859433396254,0.9972110108670756,0.012896644746156496,0.0006307224995334426,0.0042021929370166244,0.0027889891329244687,0.00470842164024945
1.1,210,MPS,False,5000,0.00021699427353767122,233.24544037494343,0.9945630171049542,0.03065924351294481,0.0011519204648413606,0.0190129491596292,0.005436982895045461,0.009748338250711173
1.1,211,MERA_PM225,False,5000,0.0004860707724936611,417.5596094169887,0.997536752968788,0.008715484534216777,0.000596506249796569,0.0044859856841898416,0.0024632470312123678,0.004253049900700118
1.1,211,MPS,False,5000,0.0003534286062222617,233.47530483303126,0.9945590414238905,0.030747859396958697,0.0011416843052578507,0.01843377518821243,0.005440958576109711,0.01010696430978974
1.1,212,MERA_PM225,False,5000,0.00014828165143907664,412.02861508296337,0.9975910999735156,0.009677163221019369,0.0005905389762168589,0.003480922213800808,0.0024089000264850835,0.004094046280456019
1.1,212,MPS,False,5000,0.00020144213576046523,234.00303158303723,0.9945590822236017,0.030755354797417405,0.0011440986507413875,0.01858350230811956,0.005440917776399656,0.009949667959602837
1.1,213,MERA_PM225,False,5000,0.00035035565850855037,406.7792995419586,0.9973110392191085,0.0070373908424506,0.0006304124302194403,0.005344373701276106,0.002688960780891314,0.004691112209390277
1.1,213,MPS,False,5000,0.0001624444201915095,227.42815504199825,0.994567618568961,0.030687379428916483,0.0011484539468948896,0.018499789023979307,0.005432381431038524,0.009617956933393488
1.1,214,MERA_PM225,False,5000,0.00015331470636355734,417.1618795830291,0.9984326127847234,0.0050659939259824985,0.0004434351034219297,0.00026251907399577057,0.0015673872152760504,0.0032390359299053345
1.1,214,MPS,False,5000,0.00027679492379710264,234.458572249976,0.9945639837945576,0.030694948210765603,0.0011477450525769761,0.019541800669546194,0.005436016205442318,0.009830327865471665
1.1,215,MERA_PM225,False,5000,7.105647946290209e-05,422.58938679099083,0.9975156874713577,0.0070431191281747525,0.0006213934788246167,0.003337557787725931,0.0024843125286425627,0.003952002634455297
1.1,215,MPS,False,5000,0.0002519652142056417,238.04009287501685,0.9945636874005466,0.030692934165178817,0.0011492403391726302,0.018587197864403937,0.005436312599453541,0.009928758987733226
1.1,216,MERA_PM225,False,5000,0.0001950477216045268,420.40743679204024,0.9975421342831673,0.00899766605844242,0.0006007239920884366,0.006308494817015675,0.002457865716833485,0.004413209442801369
1.1,216,MPS,False,5000,0.00033584526071147843,235.70648624992464,0.9945548183299098,0.030666071276154023,0.0011492000068842323,0.018965532615591252,0.005445181670090227,0.010037922566765261
1.1,217,MERA_PM225,False,5000,0.00013540768010576214,421.19108837505337,0.9974216928369833,0.00597646143319081,0.000627068290476096,0.0013000354930385871,0.0025783071630167687,0.004131574790685341
1.1,217,MPS,False,5000,0.00040887900121536197,235.3043433749117,0.9945619582997701,0.030711420908012644,0.001151430813258969,0.01862622360198063,0.005438041700229546,0.009851305983034523
1.1,218,MERA_PM225,False,5000,0.00014586859880500748,420.7436907499796,0.9975059993222476,0.011547607816806443,0.0006036299309828408,0.003470747478133418,0.0024940006777512957,0.004414047955196923
1.1,218,MPS,False,5000,0.00033595949070989366,238.93320395902265,0.9945534535529166,0.030751722218145164,0.0011474016415293775,0.016262207885093694,0.005446546447083311,0.010034155559616884
1.1,219,MERA_PM225,False,5000,0.00012018511828139884,396.72514200001024,0.9976068542122077,0.008825897425552212,0.000582441596688188,0.004262975420202153,0.0023931457877928164,0.004309104209708043
1.1,219,MPS,False,5000,0.0002702641353924713,233.84380108304322,0.994553276524678,0.030795654124656756,0.0011389845523874786,0.01855779560153159,0.005446723475322157,0.010154281902487674
